sub	trust_bold_ok	ugr_bold_ok	trust_beh_ok	ugr_beh_ok	include
sub-10317	1	1	1	1	1
sub-10317.html	0	0	0	0	0
sub-10369	1	1	1	1	1
sub-10369.html	0	0	0	0	0
sub-10402	1	1	1	1	1
sub-10402.html	0	0	0	0	0
sub-10418	1	1	1	1	1
sub-10418.html	0	0	0	0	0
sub-10462	1	1	1	1	1
sub-10462.html	0	0	0	0	0
sub-10478	1	1	1	1	1
sub-10478.html	0	0	0	0	0
sub-10486	1	1	1	1	1
sub-10486.html	0	0	0	0	0
sub-10529	1	1	1	1	1
sub-10529.html	0	0	0	0	0
sub-10541	1	1	1	1	1
sub-10541.html	0	0	0	0	0
sub-10559	1	1	1	1	1
sub-10559.html	0	0	0	0	0
sub-10572	1	1	1	1	1
sub-10572.html	0	0	0	0	0
sub-10581	1	1	1	1	1
sub-10581.html	0	0	0	0	0
sub-10584	1	1	1	1	1
sub-10584.html	0	0	0	0	0
sub-10585	1	1	1	1	1
sub-10585.html	0	0	0	0	0
sub-10589	1	1	1	1	1
sub-10589.html	0	0	0	0	0
sub-10590	1	1	1	1	1
sub-10590.html	0	0	0	0	0
sub-10596	1	1	1	1	1
sub-10596.html	0	0	0	0	0
sub-10603	1	1	1	1	1
sub-10603.html	0	0	0	0	0
sub-10606	1	1	1	1	1
sub-10606.html	0	0	0	0	0
sub-10608	1	1	1	1	1
sub-10608.html	0	0	0	0	0
sub-10617	1	1	1	1	1
sub-10617.html	0	0	0	0	0
sub-10636	1	0	1	1	0
sub-10636.html	0	0	0	0	0
sub-10638	1	1	1	1	1
sub-10638.html	0	0	0	0	0
sub-10640	1	1	1	1	1
sub-10640.html	0	0	0	0	0
sub-10641	1	1	1	1	1
sub-10641.html	0	0	0	0	0
sub-10642	1	1	1	1	1
sub-10642.html	0	0	0	0	0
sub-10644	1	1	1	1	1
sub-10644.html	0	0	0	0	0
sub-10647	1	1	1	1	1
sub-10647.html	0	0	0	0	0
sub-10649	1	1	1	1	1
sub-10649.html	0	0	0	0	0
sub-10652	1	1	1	1	1
sub-10652.html	0	0	0	0	0
sub-10656	1	1	1	1	1
sub-10656.html	0	0	0	0	0
sub-10657	1	1	1	1	1
sub-10657.html	0	0	0	0	0
sub-10661	1	1	1	1	1
sub-10661.html	0	0	0	0	0
sub-10663	1	1	1	1	1
sub-10663.html	0	0	0	0	0
sub-10668	1	1	1	1	1
sub-10668.html	0	0	0	0	0
sub-10673	1	1	1	1	1
sub-10673.html	0	0	0	0	0
sub-10674	1	1	1	1	1
sub-10674.html	0	0	0	0	0
sub-10677	1	1	1	1	1
sub-10677.html	0	0	0	0	0
sub-10685	1	1	1	1	1
sub-10685.html	0	0	0	0	0
sub-10690	1	1	1	1	1
sub-10690.html	0	0	0	0	0
sub-10691	1	1	1	1	1
sub-10691.html	0	0	0	0	0
sub-10700	1	1	1	1	1
sub-10700.html	0	0	0	0	0
sub-10701	1	1	1	1	1
sub-10701.html	0	0	0	0	0
sub-10713	1	1	1	1	1
sub-10713.html	0	0	0	0	0
sub-10716	1	1	1	1	1
sub-10716.html	0	0	0	0	0
sub-10718	1	1	1	1	1
sub-10718.html	0	0	0	0	0
sub-10720	1	1	1	1	1
sub-10720.html	0	0	0	0	0
sub-10723	1	1	1	1	1
sub-10723.html	0	0	0	0	0
sub-10741	1	1	1	1	1
sub-10741.html	0	0	0	0	0
sub-10748	1	1	1	1	1
sub-10748.html	0	0	0	0	0
sub-10767	1	1	1	1	1
sub-10767.html	0	0	0	0	0
sub-10770	1	1	1	1	1
sub-10770.html	0	0	0	0	0
sub-10777	1	1	1	1	1
sub-10777.html	0	0	0	0	0
sub-10781	1	1	1	1	1
sub-10781.html	0	0	0	0	0
sub-10783	1	1	1	1	1
sub-10783.html	0	0	0	0	0
sub-10785	1	1	1	1	1
sub-10785.html	0	0	0	0	0
sub-10794	1	1	1	1	1
sub-10794.html	0	0	0	0	0
sub-10800	1	1	1	1	1
sub-10800.html	0	0	0	0	0
sub-10801	1	1	1	1	1
sub-10801.html	0	0	0	0	0
sub-10802	1	1	1	1	1
sub-10802.html	0	0	0	0	0
sub-10803	1	1	1	1	1
sub-10803.html	0	0	0	0	0
sub-10804	1	1	1	1	1
sub-10804.html	0	0	0	0	0
sub-10806	1	1	1	1	1
sub-10806.html	0	0	0	0	0
sub-10807	1	1	1	1	1
sub-10807.html	0	0	0	0	0
sub-10809	1	1	1	1	1
sub-10809.html	0	0	0	0	0
sub-10810	1	1	1	1	1
sub-10810.html	0	0	0	0	0
sub-10812	1	1	1	1	1
sub-10812.html	0	0	0	0	0
sub-10817	1	1	1	1	1
sub-10817.html	0	0	0	0	0
sub-10827	1	1	1	1	1
sub-10827.html	0	0	0	0	0
sub-10831	1	1	1	1	1
sub-10831.html	0	0	0	0	0
sub-10834	1	1	1	1	1
sub-10834.html	0	0	0	0	0
sub-10836	1	1	1	1	1
sub-10836.html	0	0	0	0	0
sub-10838	1	1	1	1	1
sub-10838.html	0	0	0	0	0
sub-10843	1	1	1	1	1
sub-10843.html	0	0	0	0	0
sub-10850	1	1	1	1	1
sub-10850.html	0	0	0	0	0
sub-10854	1	1	1	1	1
sub-10854.html	0	0	0	0	0
sub-10857	1	1	1	1	1
sub-10857.html	0	0	0	0	0
sub-10858	1	1	1	1	1
sub-10858.html	0	0	0	0	0
sub-10860	1	1	1	1	1
sub-10860.html	0	0	0	0	0
sub-10862	1	1	1	1	1
sub-10862.html	0	0	0	0	0
sub-10863	1	1	1	1	1
sub-10863.html	0	0	0	0	0
sub-10866	1	1	1	1	1
sub-10866.html	0	0	0	0	0
sub-10875	1	1	1	1	1
sub-10875.html	0	0	0	0	0
sub-10881	1	1	1	1	1
sub-10881.html	0	0	0	0	0
sub-10886	1	1	1	1	1
sub-10886.html	0	0	0	0	0
sub-10887	1	1	1	1	1
sub-10887.html	0	0	0	0	0
sub-10896	1	1	1	1	1
sub-10896.html	0	0	0	0	0
sub-10897	1	1	1	1	1
sub-10897.html	0	0	0	0	0
sub-10898	1	1	1	1	1
sub-10898.html	0	0	0	0	0
sub-10908	1	1	1	1	1
sub-10908.html	0	0	0	0	0
sub-10913	0	1	0	1	0
sub-10913.html	0	0	0	0	0
sub-10918	1	1	1	1	1
sub-10918.html	0	0	0	0	0
sub-10919	1	1	1	1	1
sub-10919.html	0	0	0	0	0
sub-10924	1	1	1	1	1
sub-10924.html	0	0	0	0	0
sub-10926	1	1	1	1	1
sub-10926.html	0	0	0	0	0
sub-10928	1	1	1	1	1
sub-10928.html	0	0	0	0	0
sub-10929	1	1	1	1	1
sub-10929.html	0	0	0	0	0
sub-10930	1	1	1	1	1
sub-10930.html	0	0	0	0	0
sub-10938	1	1	1	1	1
sub-10938.html	0	0	0	0	0
sub-10940	1	1	1	1	1
sub-10940.html	0	0	0	0	0
sub-10950	1	1	1	1	1
sub-10950.html	0	0	0	0	0
sub-10951	0	1	1	1	0
sub-10951.html	0	0	0	0	0
sub-10952	1	1	1	1	1
sub-10952.html	0	0	0	0	0
sub-10953	1	1	1	1	1
sub-10953.html	0	0	0	0	0
sub-10954	1	1	1	1	1
sub-10954.html	0	0	0	0	0
sub-10956	1	1	1	1	1
sub-10956.html	0	0	0	0	0
sub-10958	1	1	1	1	1
sub-10958.html	0	0	0	0	0
sub-10961	1	1	1	1	1
sub-10961.html	0	0	0	0	0
sub-10964	1	1	1	1	1
sub-10964.html	0	0	0	0	0
sub-10966	1	1	1	1	1
sub-10966.html	0	0	0	0	0
sub-10969	1	1	1	1	1
sub-10969.html	0	0	0	0	0
sub-10974	1	1	1	1	1
sub-10974.html	0	0	0	0	0
sub-10977	1	1	1	1	1
sub-10977.html	0	0	0	0	0
sub-10979	1	0	1	0	0
sub-10979.html	0	0	0	0	0
sub-10983	1	1	1	1	1
sub-10983.html	0	0	0	0	0
sub-10984	1	1	1	1	1
sub-10984.html	0	0	0	0	0
sub-10998	1	1	1	1	1
sub-10998.html	0	0	0	0	0
sub-11005	1	1	1	1	1
sub-11005.html	0	0	0	0	0
sub-11007	1	1	1	1	1
sub-11007.html	0	0	0	0	0
sub-11012	1	1	1	1	1
sub-11012.html	0	0	0	0	0
sub-11016	1	1	1	1	1
sub-11016.html	0	0	0	0	0
sub-11021	1	1	1	1	1
sub-11021.html	0	0	0	0	0
sub-11030	1	1	1	1	1
sub-11030.html	0	0	0	0	0
sub-11031	1	1	1	1	1
sub-11031.html	0	0	0	0	0
sub-11036	1	1	1	1	1
sub-11036.html	0	0	0	0	0
sub-11039	1	1	1	1	1
sub-11039.html	0	0	0	0	0
sub-11042	1	1	1	1	1
sub-11042.html	0	0	0	0	0
sub-11053	1	1	1	1	1
sub-11053.html	0	0	0	0	0
sub-11058	1	1	1	1	1
sub-11058.html	0	0	0	0	0
sub-11060	1	1	1	1	1
sub-11060.html	0	0	0	0	0
sub-11063	1	1	1	1	1
sub-11063.html	0	0	0	0	0
sub-11064	1	1	1	1	1
sub-11064.html	0	0	0	0	0
sub-11065	1	1	1	1	1
sub-11065.html	0	0	0	0	0
sub-11066	1	1	1	1	1
sub-11066.html	0	0	0	0	0
sub-11068	1	1	1	1	1
sub-11068.html	0	0	0	0	0
sub-11071	1	1	1	1	1
sub-11071.html	0	0	0	0	0
sub-11072	1	1	1	1	1
sub-11072.html	0	0	0	0	0
sub-11074	1	1	1	1	1
sub-11074.html	0	0	0	0	0
sub-11075	1	1	1	1	1
sub-11075.html	0	0	0	0	0
sub-11076	1	1	1	1	1
sub-11076.html	0	0	0	0	0
sub-11078	1	1	1	1	1
sub-11078.html	0	0	0	0	0
sub-11083	1	1	1	1	1
sub-11083.html	0	0	0	0	0
sub-11084	1	1	1	1	1
sub-11084.html	0	0	0	0	0
sub-11085	1	0	1	0	0
sub-11085.html	0	0	0	0	0
sub-11090	1	1	1	1	1
sub-11090.html	0	0	0	0	0
sub-11110	0	1	0	1	0
sub-11110.html	0	0	0	0	0
sub-11113	1	1	1	1	1
sub-11113.html	0	0	0	0	0
sub-11116	1	1	1	1	1
sub-11116.html	0	0	0	0	0
sub-11120	1	1	1	1	1
sub-11120.html	0	0	0	0	0
sub-11125	1	0	1	0	0
sub-11125.html	0	0	0	0	0
sub-11126	1	1	1	1	1
sub-11126.html	0	0	0	0	0
sub-11128	1	1	1	1	1
sub-11128.html	0	0	0	0	0
sub-11134	1	1	1	1	1
sub-11134.html	0	0	0	0	0
sub-11139	1	1	1	1	1
sub-11139.html	0	0	0	0	0
sub-11145	0	1	0	1	0
sub-11145.html	0	0	0	0	0
sub-11164	1	1	1	1	1
sub-11164.html	0	0	0	0	0
sub-11167	1	1	1	1	1
sub-11167.html	0	0	0	0	0
sub-11168	1	1	1	1	1
sub-11168.html	0	0	0	0	0
sub-11171	1	0	1	1	0
sub-11171.html	0	0	0	0	0
sub-11177	1	1	1	1	1
sub-11177.html	0	0	0	0	0
sub-11192	1	1	1	1	1
sub-11192.html	0	0	0	0	0
sub-11193	1	1	1	1	1
sub-11193.html	0	0	0	0	0
sub-11201	1	1	1	1	1
sub-11201.html	0	0	0	0	0
sub-11203	1	0	1	0	0
sub-11203.html	0	0	0	0	0
sub-11209	1	1	1	1	1
sub-11209.html	0	0	0	0	0
sub-11227	1	1	1	1	1
sub-11227.html	0	0	0	0	0
sub-11238	1	1	1	1	1
sub-11238.html	0	0	0	0	0
sub-11241	0	1	0	1	0
sub-11241.html	0	0	0	0	0
sub-11246	1	1	1	1	1
sub-11246.html	0	0	0	0	0
sub-11276	1	1	1	1	1
sub-11276.html	0	0	0	0	0
sub-11286	1	1	1	1	1
sub-11286.html	0	0	0	0	0
sub-11301	1	1	1	1	1
sub-11301.html	0	0	0	0	0
sub-11311	1	1	1	1	1
sub-11311.html	0	0	0	0	0
sub-11312	1	1	1	1	1
sub-11312.html	0	0	0	0	0
sub-11316	1	1	1	1	1
sub-11316.html	0	0	0	0	0
sub-11317	0	1	0	1	0
sub-11317.html	0	0	0	0	0
sub-11318	1	1	1	1	1
sub-11318.html	0	0	0	0	0
sub-11321	1	1	1	1	1
sub-11321.html	0	0	0	0	0
sub-11325	1	1	1	1	1
sub-11325.html	0	0	0	0	0
sub-11326	1	1	1	1	1
sub-11326.html	0	0	0	0	0
sub-11329	1	1	1	1	1
sub-11329.html	0	0	0	0	0
sub-11330	1	1	1	1	1
sub-11330.html	0	0	0	0	0
sub-11337	1	1	1	1	1
sub-11337.html	0	0	0	0	0
sub-11338	1	1	1	1	1
sub-11338.html	0	0	0	0	0
sub-11340	1	1	1	1	1
sub-11340.html	0	0	0	0	0
sub-11343	0	1	0	1	0
sub-11343.html	0	0	0	0	0
sub-11345	1	1	1	1	1
sub-11345.html	0	0	0	0	0
sub-11348	1	1	1	1	1
sub-11348.html	0	0	0	0	0
